respondent_id,segment,model,preference_1to5,recommend_1to7,purchase_experience,purchase_intent_1to5,brand_loyalty_1to5
1,HighEnd,S25+,3,6,있다,4,5
2,HighEnd,S25+,2,6,있다,3,4
3,HighEnd,S25+,3,5,있다,3,2
4,HighEnd,S25+,3,4,없다,4,5
5,HighEnd,S25+,3,4,없다,2,3
6,HighEnd,S25+,3,6,있다,2,4
7,HighEnd,S25+,2,4,없다,2,5
8,HighEnd,S25+,2,6,있다,3,5
9,HighEnd,S25+,2,7,있다,4,4
10,HighEnd,S25+,2,6,없다,4,5
11,HighEnd,S25+,3,6,없다,3,4
12,HighEnd,S25+,3,4,없다,2,4
13,HighEnd,S25+,2,5,있다,3,4
14,HighEnd,S25+,2,6,있다,2,5
15,HighEnd,S25+,3,6,있다,3,5
16,HighEnd,S25+,2,7,없다,3,2
17,HighEnd,S25+,3,7,없다,3,4
18,HighEnd,S25+,2,5,없다,4,5
19,HighEnd,S25+,2,5,있다,2,3
20,HighEnd,S25+,2,6,없다,3,4
21,HighEnd,S25+,3,5,있다,4,3
22,HighEnd,S25+,3,6,있다,3,4
23,HighEnd,S25+,2,6,있다,2,4
24,HighEnd,S25+,3,6,없다,3,5
25,HighEnd,S25+,5,7,있다,3,5
26,HighEnd,S25+,4,4,있다,3,5
27,HighEnd,S25+,2,5,없다,2,3
28,HighEnd,S25+,3,6,없다,4,5
29,HighEnd,S25+,1,5,없다,3,4
30,HighEnd,S25+,4,3,없다,2,5
31,HighEnd,S25+,3,5,있다,3,4
32,HighEnd,S25+,3,7,있다,3,5
33,HighEnd,S25+,3,4,있다,3,5
34,HighEnd,S25+,3,4,없다,3,4
35,HighEnd,S25+,4,6,있다,3,5
36,HighEnd,S25+,2,7,없다,3,4
37,HighEnd,S25+,3,5,있다,4,4
38,HighEnd,S25+,2,4,있다,4,4
39,HighEnd,S25+,3,6,없다,4,4
40,HighEnd,S25+,2,5,있다,5,5
41,HighEnd,S25+,4,6,있다,4,5
42,HighEnd,S25+,3,7,있다,3,5
43,HighEnd,S25+,2,7,없다,3,4
44,HighEnd,S25+,1,6,있다,4,4
45,HighEnd,S25+,2,5,있다,3,5
46,HighEnd,S25+,4,5,없다,3,5
47,HighEnd,S25+,4,7,있다,3,4
48,HighEnd,S25+,2,7,없다,2,2
49,HighEnd,S25+,2,4,있다,2,4
50,HighEnd,S25+,2,4,있다,3,5
51,HighEnd,S25+,3,7,있다,2,5
52,HighEnd,S25+,2,4,없다,3,4
53,HighEnd,S25+,5,7,없다,3,4
54,HighEnd,S25+,4,4,없다,3,5
55,HighEnd,S25+,2,7,없다,4,5
56,HighEnd,S25+,3,4,있다,3,5
57,HighEnd,S25+,3,5,있다,2,4
58,HighEnd,S25+,4,7,없다,3,3
59,HighEnd,S25+,2,6,있다,2,2
60,HighEnd,S25+,3,5,있다,1,5
61,HighEnd,S25+,3,7,있다,2,5
62,HighEnd,S25+,3,7,없다,2,3
63,HighEnd,S25+,3,5,없다,2,4
64,HighEnd,S25+,3,7,없다,3,5
65,HighEnd,S25+,2,5,없다,3,4
66,HighEnd,S25+,2,7,있다,4,5
67,HighEnd,S25+,2,7,없다,2,3
68,HighEnd,S25+,3,4,없다,3,4
69,HighEnd,S25+,2,6,있다,2,4
